Bit-rate	SZ3	Bit-rate	ZFP	Bit-rate	SZ2.1	Bit-rate	MGARDx	Bit-rate	QoZ
1.591548	108.9209	2.20445	115.7921	2.304262	107.9854	4.000281	130.7971	1.571404	109.3653
0.919564	95.46269	1.907827	110.1262	1.448656	94.9997	2.924054	117.0974	0.905891	96.26534
0.676951	89.70528	1.689727	105.9238	1.081887	89.3392	2.47412	111.3	0.66567	90.73485
0.481925	84.03369	1.63582	104.5106	0.821041	83.68047	2.069935	105.5391	0.46771	85.40807
0.38766	80.69115	1.478897	101.1798	0.725551	80.37399	1.823378	102.1761	0.374357	82.60385
0.329833	78.39121	1.438957	100.3554	0.667055	78.02901	1.669009	99.79195	0.320214	80.35719
0.290736	76.53263	1.438957	100.3554	0.630032	76.21133	1.568278	97.94335	0.282279	78.96879
0.260445	75.11315	1.390133	98.94838	0.602575	74.72612	1.477705	96.43282	0.249128	77.61823
0.237378	73.87808	1.27748	96.1861	0.582085	73.47247	1.383064	95.15553	0.233397	77.2401
0.218658	72.8046	1.249589	95.6398	0.564562	72.38792	1.338087	94.04913	0.212375	76.11823
0.203641	71.84802	1.043949	90.16429	0.550466	71.43361	1.274314	93.07293	0.19829	75.44923
0.190518	71.04956	0.974995	88.02308	0.538134	70.57707	1.223022	92.19807	0.184294	74.18669
0.122885	65.49714	0.864566	84.77499	0.477912	65.00546	1.012326	86.14297	0.115435	69.76151
0.093964	62.24618	0.838031	84.03091	0.45924	61.80881	0.900478	82.79237	0.088742	67.00716
0.1034	59.87335	0.805048	82.69763	0.414023	59.5893	0.897297	80.19543	0.072727	65.29306
0.067238	58.18751	0.777231	81.54809	0.379625	57.90124	0.806348	78.42291	0.062978	63.69946
0.075182	56.66991	0.709057	79.48845	0.347889	56.54081	0.733534	76.99316	0.055582	62.32478
0.070278	55.39027	0.686752	78.77114	0.320865	55.40678	0.676164	75.7982	0.04999	61.52719
0.062202	54.39494	0.686752	78.77114	0.296303	54.45515	0.638113	74.77244	0.045331	60.43751
0.057833	53.40877	0.559556	73.604	0.273238	53.63046	0.620567	74.13098	0.041988	59.8718
0.055689	52.85931	0.48571	69.80299	0.253277	52.90902	0.614377	73.32764	0.038726	58.44408
0.036384	49.85653	0.453396	68.51136	0.181001	50.33552	0.488871	70.30299	0.028714	55.64707
0.030739	47.47828	0.435665	67.32181	0.139186	48.75844	0.405063	68.21552	0.023198	53.83195
-	-	0.39297	64.80891	-	-	-	-	-	-
-	-	0.378869	64.19608	-	-	-	-	-	-
-	-	0.365289	63.5305	-	-	-	-	-	-
-	-	0.365289	63.5305	-	-	-	-	-	-
-	-	0.351722	62.41634	-	-	-	-	-	-
-	-	0.28283	57.66341	-	-	-	-	-	-
-	-	0.234239	53.90698	-	-	-	-	-	-
-	-	0.226972	52.98357	-	-	-	-	-	-
-	-	0.194577	49.95361	-	-	-	-	-	-
-	-	0.187187	49.33376	-	-	-	-	-	-
-	-	0.187187	49.33376	-	-	-	-	-	-
-	-	0.181936	48.53132	-	-	-	-	-	-
-	-	0.174512	47.54269	-	-	-	-	-	-
-	-	0.156051	45.58502	-	-	-	-	-	-

